Loading norms and the citation graph...
  960 eligible norms (deontic in {'COMPETENCE', 'OBLIGATION', 'PROHIBITION'}, addressee_type known)
  embedding 960 norms for semantic candidate matching (model: text-embedding-3-small, top-8)...
  5649 semantic-similarity index pair(s) found
  3023 candidate pair(s) after addressee_type gate + (graph adjacency OR trigger-keyword match OR semantic similarity)
  1 resolved deterministically (no AI needed), 3022 need AI adjudication (duty_conflict/deontic_polarity_conflict)
  BWBR0040940 art.19 <-> BWBR0051796 art.7 -- competence_competition [High]
  [44/3022] BWBR0052872 art.16 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [45/3022] BWBR0052872 art.16 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [46/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [47/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [48/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [49/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [50/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [51/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [52/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [53/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [54/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [55/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [56/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [57/3022] BWBR0052872 art.16 <-> BWBR0052872 art.17 -- NOT_A_CONFLICT
  [58/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [59/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [60/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [61/3022] BWBR0052872 art.16 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [62/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [63/3022] BWBR0052872 art.16 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [64/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [65/3022] BWBR0052872 art.16 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [66/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [67/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [68/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [69/3022] BWBR0052872 art.16 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [70/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [71/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [72/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [73/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [74/3022] BWBR0052872 art.16 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [75/3022] BWBR0052872 art.16 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [76/3022] BWBR0052872 art.16 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [77/3022] BWBR0052872 art.16 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [78/3022] BWBR0052872 art.16 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [79/3022] BWBR0052872 art.16 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [80/3022] BWBR0052872 art.16 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [81/3022] BWBR0052872 art.16 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [82/3022] BWBR0052872 art.16 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [83/3022] BWBR0052872 art.16 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [84/3022] BWBR0052872 art.16 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [85/3022] BWBR0052872 art.16 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [86/3022] BWBR0052872 art.16 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [87/3022] BWBR0052872 art.16 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [88/3022] BWBR0052872 art.16 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [89/3022] BWBR0052872 art.16 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [90/3022] BWBR0052872 art.16 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [91/3022] BWBR0052872 art.16 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [92/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [93/3022] BWBR0052872 art.16 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [94/3022] BWBR0052872 art.16 <-> BWBR0052872 art.17 -- NOT_A_CONFLICT
  [95/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [96/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [97/3022] BWBR0052872 art.16 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [98/3022] BWBR0052872 art.16 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [99/3022] BWBR0052872 art.16 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [100/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [101/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [102/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [103/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [104/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [105/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [106/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [107/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [108/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [109/3022] BWBR0052872 art.16 <-> 32022L2555 art.11 -- NOT_A_CONFLICT
  [110/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [111/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [112/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [113/3022] BWBR0052872 art.16 <-> BWBR0052872 art.17 -- NOT_A_CONFLICT
  [114/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [115/3022] BWBR0052872 art.16 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [116/3022] BWBR0052872 art.16 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [117/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [118/3022] BWBR0052872 art.16 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [119/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [120/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [121/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [122/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [123/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [124/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [125/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [126/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [127/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [128/3022] BWBR0052872 art.16 <-> BWBR0052872 art.17 -- NOT_A_CONFLICT
  [129/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [130/3022] BWBR0052872 art.16 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [131/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [132/3022] BWBR0052872 art.16 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [133/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [134/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [135/3022] BWBR0052872 art.16 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [136/3022] BWBR0052872 art.16 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [137/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [138/3022] BWBR0052872 art.16 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [139/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [140/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [141/3022] BWBR0052872 art.17 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [142/3022] BWBR0052872 art.17 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [143/3022] BWBR0052872 art.17 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [144/3022] BWBR0052872 art.16 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [145/3022] BWBR0052872 art.17 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [146/3022] BWBR0052872 art.17 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [147/3022] BWBR0052872 art.17 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [148/3022] BWBR0052872 art.17 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [149/3022] BWBR0052872 art.17 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [150/3022] BWBR0052872 art.17 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [151/3022] BWBR0052872 art.17 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [152/3022] BWBR0052872 art.17 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [153/3022] BWBR0052872 art.17 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [154/3022] BWBR0052872 art.17 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [155/3022] BWBR0052872 art.17 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [156/3022] BWBR0052872 art.17 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [157/3022] BWBR0052872 art.17 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [158/3022] BWBR0052872 art.17 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [159/3022] BWBR0052872 art.17 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [160/3022] BWBR0052872 art.17 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [161/3022] BWBR0052872 art.17 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [162/3022] BWBR0052872 art.17 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [163/3022] BWBR0052872 art.17 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [164/3022] BWBR0052872 art.17 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [165/3022] BWBR0052872 art.17 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [166/3022] BWBR0052872 art.17 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [167/3022] BWBR0052872 art.17 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [168/3022] BWBR0052872 art.17 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [169/3022] BWBR0052872 art.17 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [170/3022] BWBR0052872 art.17 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [171/3022] BWBR0052872 art.17 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [172/3022] BWBR0052872 art.17 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [173/3022] BWBR0052872 art.17 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [174/3022] BWBR0052872 art.17 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [175/3022] BWBR0052872 art.17 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [176/3022] BWBR0052872 art.20 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [177/3022] BWBR0052872 art.20 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [178/3022] BWBR0052872 art.20 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [179/3022] BWBR0052872 art.20 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [180/3022] BWBR0052872 art.20 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [181/3022] BWBR0052872 art.20 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [182/3022] BWBR0052872 art.20 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [183/3022] BWBR0052872 art.20 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [184/3022] BWBR0052872 art.20 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [185/3022] BWBR0052872 art.20 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [186/3022] BWBR0052872 art.20 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [187/3022] BWBR0052872 art.20 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [188/3022] BWBR0052872 art.20 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [189/3022] BWBR0052872 art.20 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [190/3022] BWBR0052872 art.20 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [191/3022] BWBR0052872 art.20 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [192/3022] BWBR0052872 art.20 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [193/3022] BWBR0052872 art.20 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [194/3022] BWBR0052872 art.20 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [195/3022] BWBR0052872 art.20 <-> 32024R1689 art.70 -- NOT_A_CONFLICT
  [196/3022] BWBR0052872 art.21 <-> BWBR0052872 art.21 -- NOT_A_CONFLICT
  [197/3022] BWBR0052872 art.20 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [198/3022] BWBR0052872 art.20 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [199/3022] BWBR0052872 art.21 <-> BWBR0052872 art.21 -- NOT_A_CONFLICT
  [200/3022] BWBR0052872 art.21 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [201/3022] BWBR0052872 art.21 <-> BWBR0052872 art.21 -- NOT_A_CONFLICT
  [202/3022] BWBR0052872 art.21 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [203/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11.3 -- NOT_A_CONFLICT
  [204/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [205/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [206/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [207/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [208/3022] BWBR0052872 art.21 <-> 32022R2554 art.9 -- NOT_A_CONFLICT
  [209/3022] BWBR0052872 art.21 <-> 32022L2555 art.21 -- NOT_A_CONFLICT
  [210/3022] BWBR0052872 art.21 <-> 32024R1689 art.9 -- NOT_A_CONFLICT
  [211/3022] BWBR0052872 art.21 <-> BWBR0052872 art.21 -- NOT_A_CONFLICT
  [212/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [213/3022] BWBR0052872 art.21 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [214/3022] BWBR0052872 art.21 <-> BWBR0052872 art.21 -- NOT_A_CONFLICT
  [215/3022] BWBR0052872 art.21 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [216/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [217/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11.3 -- NOT_A_CONFLICT
  [218/3022] BWBR0052872 art.21 <-> 32022R2554 art.12 -- NOT_A_CONFLICT
  [219/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [220/3022] BWBR0052872 art.21 <-> 32024R1689 art.31 -- NOT_A_CONFLICT
  [221/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [222/3022] BWBR0052872 art.21 <-> BWBR0052872 art.21 -- NOT_A_CONFLICT
  [223/3022] BWBR0052872 art.21 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [224/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [225/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [226/3022] BWBR0052872 art.21 <-> BWBR0048156 art.18 -- NOT_A_CONFLICT
  [227/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [228/3022] BWBR0052872 art.21 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [229/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11.3 -- NOT_A_CONFLICT
  [230/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11.3a -- NOT_A_CONFLICT
  [231/3022] BWBR0052872 art.21 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [232/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [233/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11.3a -- NOT_A_CONFLICT
  [234/3022] BWBR0052872 art.21 <-> 32016R0679 art.28 -- NOT_A_CONFLICT
  [235/3022] BWBR0052872 art.21 <-> 32016R0679 art.33 -- NOT_A_CONFLICT
  [236/3022] BWBR0052872 art.21 <-> 32016R0679 art.33 -- NOT_A_CONFLICT
  [237/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [238/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [239/3022] BWBR0052872 art.21 <-> 32016R0679 art.33 -- NOT_A_CONFLICT
  [240/3022] BWBR0052872 art.21 <-> 32016R0679 art.33 -- NOT_A_CONFLICT
  [241/3022] BWBR0052872 art.21 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [242/3022] BWBR0052872 art.21 <-> 32016R0679 art.82 -- NOT_A_CONFLICT
  [243/3022] BWBR0052872 art.21 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [244/3022] BWBR0052872 art.21 <-> 32022L2555 art.21 -- NOT_A_CONFLICT
  [245/3022] BWBR0052872 art.21 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [246/3022] BWBR0052872 art.21 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [247/3022] BWBR0052872 art.21 <-> 32022R2554 art.6 -- NOT_A_CONFLICT
  [248/3022] BWBR0052872 art.21 <-> 32022R2554 art.6 -- NOT_A_CONFLICT
  [249/3022] BWBR0052872 art.21 <-> 32022R2554 art.9 -- NOT_A_CONFLICT
  [250/3022] BWBR0052872 art.21 <-> 32022R2554 art.11 -- NOT_A_CONFLICT
  [251/3022] BWBR0052872 art.21 <-> 32022R2554 art.10 -- NOT_A_CONFLICT
  [252/3022] BWBR0052872 art.21 <-> 32022R2554 art.10 -- NOT_A_CONFLICT
  [253/3022] BWBR0052872 art.21 <-> 32022R2554 art.13 -- NOT_A_CONFLICT
  [254/3022] BWBR0052872 art.21 <-> 32022R2554 art.12 -- NOT_A_CONFLICT
  [255/3022] BWBR0052872 art.21 <-> 32022R2554 art.17 -- NOT_A_CONFLICT
  [256/3022] BWBR0052872 art.21 <-> 32022R2554 art.14 -- NOT_A_CONFLICT
  [257/3022] BWBR0052872 art.21 <-> 32022R2554 art.17 -- NOT_A_CONFLICT
  [258/3022] BWBR0052872 art.21 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [259/3022] BWBR0052872 art.21 <-> 32022R2554 art.18 -- NOT_A_CONFLICT
  [260/3022] BWBR0052872 art.21 <-> 32022R2554 art.18 -- NOT_A_CONFLICT
  [261/3022] BWBR0052872 art.21 <-> 32022R2554 art.25 -- NOT_A_CONFLICT
  [262/3022] BWBR0052872 art.21 <-> 32022R2554 art.25 -- NOT_A_CONFLICT
  [263/3022] BWBR0052872 art.21 <-> 32024R1689 art.29 -- NOT_A_CONFLICT
  [264/3022] BWBR0052872 art.21 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [265/3022] BWBR0052872 art.21 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [266/3022] BWBR0052872 art.21 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [267/3022] BWBR0052872 art.21 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [268/3022] BWBR0052872 art.21 <-> 32024R1689 art.9 -- NOT_A_CONFLICT
  [269/3022] BWBR0052872 art.21 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [270/3022] BWBR0052872 art.21 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [271/3022] BWBR0052872 art.21 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [272/3022] BWBR0052872 art.21 <-> BWBR0049497 art.5 -- NOT_A_CONFLICT
  [273/3022] BWBR0052872 art.21 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [274/3022] BWBR0052872 art.21 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
